building,code,description,title,days,credits,time,instructor,department,school,collegeId
TBA,E62 BME 506," This seminar course consists of a series of tutorial lectures on Imaging Science and Engineering with emphasis on applications of imaging technology. Students are exposed to a variety of imaging applications that vary depending on the semester, but may include multispectral remote sensing, astronomical imaging, microscopic imaging, ultrasound imaging, and tomographic imaging. Guest lecturers come from several parts of the university. This course is required of all students in the Imaging Science and Engineering program; the only requirement is attendance. This course is graded Pass/Fail. Prerequisite: Admission to Imaging Science and Engineering Program.",Seminar in Imaging Science and Engineering,----F--,1,8:30A-10:00A,O'Sullivan,,school of engineering ,1
Whitaker /,E62 BME 507," This class is designed to construct a theoretical foundation for ionizing radiation dose calculations and measurements in a medical context and prepare graduate students for proper scientific presentations of in the field of x-ray imaging and radiation therapy. Specifically, a student completing this course will be able to do the following: 1. Understand and apply key concepts specific to energy deposition for both ionizing photon interactions and transport in matter and for energetic charged particle interactions and transport in matter. Radiation sources include radioactivity, x-ray tubes, and linear accelerators. 2. Understand the theoretical details of ion-chamber based dosimetry and of both cavity-theory based (TG-21) and Monte-Carlo based (TG-51) clinical protocols. 3. Perform and present real world style research projects as a group, and present these projects in a typical professional scientific format and style. 4. Achieve an appreciation of the history and potential future developments in ionizing radiation detection and dosimetry. Prerequisites: B.S. in physics or engineering and instructor approval",Radiological Physics and Dosimetry,TBA,3,,"Zhang, Tiezhi, Khan, Rao",,school of engineering ,1
(None) /,E62 BME 5073," This course will introduce concepts of radiation protection and safety. The focus will be on how to protects humans and environment from ionizing radiation. Special emphasis will be on radiological protection in clinics. Prerequisite: Graduate student standing or Permission of the instructor.",Radiation Protection and Safety,TBA,2,,"Zhang, Tiezhi",,school of engineering ,1
McKinley Scott / 4001B,E62 BME 537," This course is a survey of algorithms and mathematical methods in biological sequence analysis (with a strong emphasis on probabilistic methods) and systems biology. Sequence analysis topics include introduction to probability, probabilistic inference in missing data problems, hidden Markov models (HMMs), profile HMMs, sequence alignment, and identification of transcription-factor binding sites. Systems biology topics include discovery of gene regulatory networks, quantitative modeling of gene regulatory networks, synthetic biology, and (in some years) quantitative modeling of metabolism. Prereqs: CSE131 or CSE501N.",Computational Molecular Biology,M-W-F--,3,2:50P-4:10P,Brent,,school of engineering ,1
Whitaker / 218,E62 BME 559," This course covers several of the fundamental theories of solid mechanics that are needed to solve problems in biomechanics. The theories of nonlinear elasticity, viscoelasticity, and poroelasticity are applied to a large range of biological tissues including bone, articular cartilage, blood vessels, the heart, skeletal muscle, and red blood cells. Other topics include muscle activation, the biomechanics of development and functional adaptation, and the mechanics of hearing. Prerequisites: BME240 and ESE317 or ESE 318 and 319 or permission of instructor.",Intermediate Biomechanics,M-W----,3,11:30A-1:00P,Shao,,school of engineering ,1
Whitaker / 318,E62 BME 5702," Students will work in small teams to apply core engineering skills covered in BME 5701 such as FEM, CAD, microcontroller programming, circuit design, data informatics, and app development to particular clinical needs or processes chosen by the instructing staff. Prerequisites: BME 5701 or permission of instructor.",Application of Advanced Engineering Skills for Biomedical Innovators,TBA,3,,Widder,,school of engineering ,1
Whitaker / 318,E62 BME 5712," This course is part two of the year-long Masters Design sequence for the BME Master's of Engineering. Students will work in small groups to begin to design a solution to the problem identified in BME 5711. Options and alternatives will be evaluated and a best-choice solution will be chosen, based on an in-depth study of constraints upon the problem, including engineering materials, economic, safety, social, manufacturing, ethical, sustainability, and other requirements. Core skills such as FEM, CAD, circuit design, microcontroller programming, and 3D printing will be applied to create first an alpha mockup for proof of concept, followed by a full working prototype by the end of the semester. Prerequisites: BME 5711 or permission of instructor.",Implementation of Biomedical Solutions,TBA,3,,Barbour,,school of engineering ,1
Whitaker / 318,E62 BME 5722," This is the second course of the Master of Engineering - Biomedical Innovation sequence in product development. Students will practice the steps in biomedical product development, including medical need validation, brainstorming initial solutions, market analysis, solution evaluation, regulatory, patent, and intellectual property concerns, manufacturability, risk assessment and mitigation, and global considerations. The course will focus on applying product development techniques to several real unmet medical needs; students will thus perform analysis and create reports and presentations for several different product solutions. Peer and faculty evaluations will provide feedback to improve individual technique. Local biomedical entrepreneurs will also visit to share their expertise and experiences. Prequisite: Admission to the Master of Engineering program.",Feasibility Evaluation of Biomedical Products,TBA,2,,Widder,,school of engineering ,1
Whitaker / 318,E62 BME 5731," For medical innovators, a successful translation from product to market will require careful strategy and an understanding of the steps needed to form and fund a biotech business, either as a new startup or as an extension of the product line of an existing company. This course will provide a first look at the steps in this process, including intellectual property concerns, R&D, clinical strategy, regulatory issues, quality management, reimbursement, marketing strategy, sales and distribution, operating plans, and approaches to funding. Prerequisites: MEng Program",Business Foundations for Biomedical Innovators,TBA,2,,Barbour,,school of engineering ,1
Whitaker / 318,E62 BME 575," Ion channels are the molecular basis of membrane excitability in all cell types, including neuronal, heart, and muscle cells. This course presents the structure and the mechanism of function of ion channels at the molecular level. It introduces the basic principles and methods in the ion channel study as well as the structure-function relation of various types of channels. Exemplary channels that have been best studied will be discussed to illustrate the current understanding. Prerequisites: Knowledge of differential equations, electrical circuits, and chemical kinetics.",Molecular Basis of Bioelectrical Excitation,M-W----,3,2:30P-4:00P,Cui,,school of engineering ,1
Whitaker / 318,E62 BME 5903," The course will introduce the spectrum of biophysical techniques used in biomedical sciences with a focus on advanced fluorescence spectroscopy. The first half of the course (January to Spring break) will introduce the concepts behind techniques such as: dynamic light scattering, SPR, analytical ultracentrifugation size-exclusion and affinity chromatography, atomic force microscopy, fluorescence spectroscopy, FRET, FTIR, circular dichroism, fluorescence correlation spectroscopy, sub-diffraction microscopy. The second half of the course will be held as six 3 h block lab classes (Fridays 10a - 1p) in which the students will use these techniques in experiments on protein folding, protein stability and amyloid formation. Prior attendance of BME 461 ""Protein structure and dynamics"" is encouraged. Because of limited room in the experimental lab, attendance will be limited to 9 students. Prerequisite: senior or graduate standing",Physical Methods for Biomedical Scientists,--W-F--,3,10:00A-11:30A,Bieschke,,school of engineering ,1
Whitaker / 216,E62 BME 591," This course covers the principles of optical photon transport in biological tissue. Topics include a brief introduction to biomedical optics, single-scatterer theories, Monte Carlo modeling of photon transport, convolution for broad-beam responses, radiative transfer equation and diffusion theory, hybrid Monte Carlo method and diffusion theory, and sensing of optical properties and spectroscopy. Prerequisite: Differential equations",Biomedical Optics I: Principles,M-W----,3,4:00P-5:30P,Zhu,,school of engineering ,1
TBA,E62 BME 5911," This journal club is intended for beginning graduate students, advanced undergraduates, and MSTP students with a background in the quantitative sciences (engineering, physics, math, chemistry, etc). The subjects covered are inherently multidisciplinary. We will review landmark and recent publications in quantitative cardiovascular physiology, mathematical modeling of physiologic systems and related topics such as chaos theory and nonlinear dynamics of biological systems. Familiarity with calculus, differential equations, and basic engineering/thermodynamic principles is assumed. Weekly meetings to review and discuss current cardiovascular physiology and biophysics journal articles. Prerequisite: Calculus, physiology/anatomy is optional.",Cardiovascular Biophysics Journal Club,TBA,1,,Kovacs,,school of engineering ,1
Whitaker / 216,E62 BME 5913," Systems-level measurements of molecules in cells and tissues harbors the promise identify the ways in which tissues develop, maintain, age, and become diseased. This class will introduce the systems-level measurement techniques for capturing molecular information and the mathematical and computational methods for harnessing the information from these measurements to improve our understanding of cell physiology and disease. This is a practical class, which involves implementation of the concepts in MATLAB and will be applied to existing, real data from published journal articles. Molecular topics will include: gene expression, microRNA, proteins, post-translational modifications, drugs, and splicing. Computational/mathematical topics covered will include: statistical inference, dimensionality reduction techniques, unsupervised and supervised machine learning, and graph-based techniques. Prereqs: A working knowledge of molecular biology, linear algebra, and statistics is required.",Molecular Systems Biology: Computation & Measurements for Understanding Cell Physiology and Disease,M-W----,3,2:30P-4:00P,Naegle,,school of engineering ,1
Whitaker / 216,E62 BME 594," Introduce basic principles of ultrasound imaging, diagnostic ultrasound imaging system, clinical applications, and emerging technologies in industry. Prerequisites: ESE 351",Ultrasound Imaging,-T-R---,3,8:30A-10:00A,"Chen, Hong",,school of engineering ,1
TBA,E62 BME 599," All sections TBA.",Masters Research,TBA,0,,[TBA],,school of engineering ,1
Urbauer / 218,E81 CSE 104," This comprehensive course does not assume prior programming background or web design experience. Explores elementary principles that go into designing, creating, and publishing an effective web site. Topics include the production process, design metaphors, interface/information design, page layout concepts, graphics preparation, color theory, development tools, HTML, style sheets, basic scripting techniques, search engine optimization and site maintenance/marketing strategies.",Web Development,M--R---,3,5:30P-7:00P,Hufstedler,,school of engineering ,1
TBA,E81 CSE 131," This online lecture course is an introduction to software concepts and implementation, emphasizing problem solving through abstraction and decomposition. Introduces processes and algorithms, procedural abstraction, data abstraction, encapsulation, and object-oriented programming. Recursion, iteration, and simple data structures are covered. Concepts and skills are mastered through programming projects, many of which employ graphics to enhance conceptual understanding. Java, an object-oriented programming language, is the vehicle of exploration. Active-learning sessions are conducted in a studio setting in which students interact with each other and the professor to solve problems collaboratively. Prerequisites: Comfort with algebra and geometry at the high school level is assumed. Patience, good planning, and organization will promote success. This course assumes no prior experience with programming. Midterm evening exams will be held on the evenings of Thursday, 9/28/17 and Thursday, 11/9/17 from 6:30-8:30 p.m.",Computer Science I,TBA,3,,"Cytron, Cosgrove",,school of engineering ,1
TBA,E81 CSE 131R," A seminar and discussion session that complements the material studied in CSE131. Provides background and breadth for the disciplines of computer science and computer engineering. Features guest lectures and highly interactive discussions of diverse computer science topics. Highly recommended for majors and for any student seeking a broader view of computer science or computer engineering. Pass/Fail only.",Seminar: Computer Science I,M------,1,4:00P-5:30P,Cytron,,school of engineering ,1
TBA,E81 CSE 132," CSE 132 introduces students to fundamental concepts in the basic operation of computers, ranging from desktops and servers to microcontrollers and handheld devices. Subjects include digital and analog input/output, sensing the physical world, information representation, basic computer architecture and machine language, time-critical computation, machine-to-machine communication and protocol design. Students will use both desktop systems and handheld microcontrollers for laboratory experiments. Active-learning sessions are conducted in a studio setting in which students interact with each other and the professor to solve problems collaboratively.Prerequisite CSE 131",Computer Science II,---R---,3,4:00P-5:30P,"Shook, Siever",,school of engineering ,1
Urbauer / 218,E81 CSE 222S," For a very long time, the Things in our world have lived relatively lonely and single-purposed lives. With the advent of the Internet of Things, we can address, control, and interconnect these formerly isolated devices to create new and interesting applications. In this course we study Bluetooth Low Energy, one of the fundamental networking technologies behind Internet-of-Things devices, and Appcessories, which include smart watches, health monitors, toys, and appliances. In addition to learning about the Bluetooth Low Energy protocol and network stack, students gain hands-on experience developing multi-platform solutions that control and communicate with Things using an accompanying app on a mobile device. Students apply their knowledge and skill to develop a project of their choosing using topics from the course. Prereq: CSE 132",Internet of Things,-T-R---,3,2:30P-4:00P,Siever,,school of engineering ,1
Eads / 016,E81 CSE 231S," This course explores concepts, techniques, and design approaches for parallel and concurrent programming. We study how to write programs that make use of multiple processors for responsiveness and that share resources reliably and fairly. Parallel programming concepts include task-level, functional, and loop-level parallelism. Concurrent programming concepts include threads, synchronization, and locks. We cover how to adapt algorithms to achieve determinism and avoid data races and deadlock. Concepts and skills are acquired through the design and implementation of software projects. Collaboration skills are developed through work performed in small teams. Prerequisite: CSE 131 or equivalent.",Introduction to Parallel and Concurrent Programming,M-W----,3,1:00P-2:30P,Cosgrove,,school of engineering ,1
TBA,E81 CSE 240," Introduces elements of logic and discrete mathematics that allow reasoning about computational structures and processes. Generally, the areas of discrete structures, proof techniques, probability and computational models are covered. Topics typically include propositional and predicate logic; sets, relations, functions and graphs; proof by contradiction, induction and reduction; finite state machines and regular languages; and introduction to discrete probability, expected value and variance. Prerequisite: CSE 131",Logic and Discrete Mathematics,M-W----,3,2:30P-4:00P,Moseley,,school of engineering ,1
TBA,E81 CSE 247," Study of fundamental algorithms, data structures, and their effective use in a variety of applications. Emphasizes importance of data structure choice and implementation for obtaining the most efficient algorithm for solving a given problem. A key component of this course is worst-case asymptotic analysis, which provides a quick and simple method for determining the scalability and effectiveness of an algorithm. Midterm evening exams will be held on the evenings of Monday, 10/2/17 and Monday, 11/6/17 from 6:30-8:30 p.m. Prerequisite: CSE 240",Data Structures and Algorithms,-T-----,3,4:00P-5:30P,Shook,,school of engineering ,1
TBA,E81 CSE 260M," Introduction to design methods for digital logic and fundamentals of computer architecture. Students learn to use hardware description languages and computer-aided design tools (simulation, circuit synthesis) and apply them to the design of a variety of digital circuits. Coverage includes both combinational and sequential circuits, ranging in complexity from basic arithmetic circuits to a simple processor. Students learn about the underlying causes of circuit delays and timing issues in sequential circuits (setup and hold times, minimum clock period analysis, metastability). They also study how logic minimization is done, learn to make basic design trade-offs (complexity vs. performance), and how look ahead techniques can be used to speed circuit operation. Coverage also includes the operation of a programmable processor, common methods for enhancing processor performance and the design of memory systems. Prerequisites: CSE 131",Introduction to Digital Logic and Computer Design,M-W----,3,2:30P-4:00P,Richard,,school of engineering ,1
TBA,E81 CSE 316A," This course looks at social networks and markets through the eyes of a computer scientist. We will look at questions including, ""Why are acquaintances rather than friends more likely to get us job opportunities?"" and, ""Why do the rich get richer?"" We begin by studying graph theory (allowing us to study the structure) and game theory (allowing us to study the interactions) of social networks and market behavior at the introductory level. Among other topics, we will study auctions, epidemics, and the structure of the Internet (including web searches). This course examines the intersection of computer science, economics, sociology, and applied mathematics. Prerequisites: CSE 247 and ESE 326",Social Network Analysis,-T-R---,3,10:00A-11:30A,Neumann,,school of engineering ,1
TBA,E81 CSE 330S," This course uses web development as a vehicle for developing skills in rapid prototyping. Students acquire the skills to build a Linux web server in Apache, to write a web site from scratch in PHP, to run an SQL database, to perform scripting in Python, to employ the AngularJS web framework, and to develop modern web applications in client-side and server-side JavaScript. The course culminates with a creative project in which students are able to synthesize the course material into a project of their own interest. The course implements an interactive studio format: after a formal presentation of a topic, students develop a related project under the supervision of the instructor. Prerequisite: CSE 131",Rapid Prototype Development and Creative Programming,M-W----,3,10:00A-11:30A,Sproull,,school of engineering ,1
Eads / 016,E81 CSE 332S," Intensive focus on practical aspects of designing, implementing and debugging object-oriented software. Topics covered include developing, documenting, and testing representative applications using object-oriented and generic frameworks and C++. Design and implementation based on frameworks are central themes to enable the construction of reusable, extensible, efficient, and maintainable software. Prerequisites: CSE 247.",Object-Oriented Software Development Laboratory,-T-R---,3,10:00A-11:30A,Staff,,school of engineering ,1
TBA,E81 CSE 341T," The course aims to teach how to design, analyze and implement parallel algorithms. The emphasis is on teaching fundamental principles and design techniques that easily transfer over to parallel programming. These techniques include divide and conquer, contraction, the greedy method, etc. Prerequisite: CSE 240 and CSE 247. In addition, a placement exam will be given during the first day of the class to ensure that students taking the class have sufficient background.",Parallel and Sequential Algorithms,M-W----,3,10:00A-11:30A,Agrawal,,school of engineering ,1
TBA,E81 CSE 347," Introduces techniques for the mathematical analysis of algorithms, including randomized algorithms and non-worst-case analyses such as amortized and competitive analysis. Introduces the standard paradigms of divide-and-conquer, greedy, and dynamic programming algorithms, as well as reductions. Also provides an introduction to the study of intractability and techniques to determine when good algorithms cannot be designed. Prerequisite: CSE 247",Analysis of Algorithms,-T-R---,3,4:00P-5:30P,Juba,,school of engineering ,1
Eads / 016,E81 CSE 361S," Introduction to the hardware and software foundations of computer processing systems. This course provides a programmer's perspective of how computer systems execute programs and store information. The course material aims to enables students to become more effective programmers, especially in dealing with issues of performance, portability and robustness. It also serves as a foundation for other system courses, such as compilers, networks, and operating systems, where a deeper understanding of systems-level issues is required. Topics covered include: machine-level code and its generation by optimizing compilers, performance evaluation and optimization, computer arithmetic, memory organization and management, and supporting concurrent computation. Prerequisites: CSE 132",Introduction to Systems Software,M-W----,3,4:00P-5:30P,Lee,,school of engineering ,1
TBA,E81 CSE 362M," This course explores the interaction and design philosophy of hardware and software for digital computer systems. Topics include: Processor architecture, Instruction Set Architecture, Assembly Language, memory hierarchy design, I/O considerations, and a comparison of computer architectures. Prerequisite: CSE 260M.",Computer Architecture,-T-R---,3,11:30A-1:00P,Richard,,school of engineering ,1
TBA,E81 CSE 417T," The field of machine learning is concerned with the question of how to construct computer programs that automatically improve with experience. This course is a broad introduction to machine learning, covering the foundations of supervised learning and important supervised learning algorithms. Topics to be covered are the theory of generalization (including VC-dimension, the bias-variance tradeoff, validation, and regularization) and linear and non-linear learning models (including linear and logistic regression, decision trees, ensemble methods, neural networks, nearest-neighbor methods, and support vector machines). Prerequisites: CSE 247, ESE 326, Math 233, and Math 309 (can be taken concurrently).",Introduction to Machine Learning,-T-R---,3,2:30P-4:00P,Das,,school of engineering ,1
Urbauer / 218,E81 CSE 422S," Exploration of operating systems as managers of shared resources. Students study algorithms and data structures that support essential operating systems services. Concepts are reinforced through programming exercises and comparative studies. Topics include: proportional sharing and real-time scheduling of processes and threads, I/O facilities, memory management, virtual memory, device management, concurrent programming, and file system organization. Prerequisites: CSE 332S and CSE 361S.",Operating Systems Organization,M-W----,3,8:30A-10:00A,Gill,,school of engineering ,1
TBA,E81 CSE 427S," This course provides a comprehensive introduction to applied parallel computing using the MapReduce programming model facilitating large scale data management and processing. There will be an emphasis on hands-on experience working with the Hadoop architecture, an open-source software framework written in Java for distributed storage and processing of very large data sets on computer clusters. Further, we will make use of related big data technologies from the Hadoop ecosystem of tools, such as Hive, Impala, and Pig in developing analytics and solving problems faced by enterprises today. Prerequisites: CSE 247 and CSE 330 (or basic knowledge in relational databases (RDMS) and SQL).",Cloud Computing with Big Data Applications,-T-R---,3,1:00P-2:30P,Neumann,,school of engineering ,1
Eads / 016,E81 CSE 437S," An introduction and exploration of concepts and issues related to large-scale software systems development. Areas of exploration include technical complexities, organization issues, and communication techniques for large-scale development. Students participate through teams emulating industrial development. The projects cover the principal system development life-cycle phases from requirements analysis, to software design, and to final implementation. Issues relating to real-time control systems, human factors, reliability, performance, operating costs, maintainability and others are addressed and resolved in a reasonable manner. Prerequisite: Junior or Senior standing",Software Engineering Workshop,-T-----,3,5:30P-8:30P,Cosgrove,,school of engineering ,1
TBA,E81 CSE 438S," Learn how to create iOS apps in the Swift programming language. This course covers a variety of topics in the development of modern mobile applications, with a focus on hands-on projects. Students will create multiple fully-functional apps from scratch. The course emphasizes object-oriented design patterns and real-world development techniques. Time is provided at the end of the course for students to work on a project of the their own interest. Prerequisites: CSE 247",Mobile Application Development,M-W----,3,11:30A-1:00P,Sproull,,school of engineering ,1
TBA,E81 CSE 452A," Introduction to computer graphics. The course covers fundamental concepts, data structures, and algorithms related to the construction, display, and manipulation of three-dimensional objects. Topics include scan-conversion, basic image processing, transformations, scene graphs, camera projections, local and global rendering, fractals, and parametric curves and surfaces. Students develop interactive graphics programs using C++ language.Prerequisite: CSE 332S and Math 309",Computer Graphics,-T-R---,3,2:30P-4:00P,Furukawa,,school of engineering ,1
Urbauer / 115,E81 CSE 465M," Hardware/software co-design; processor interfacing; procedures for reliable digital design, both combinational and sequential; understanding manufacturers' specifications; use of test equipment. Several single-period laboratory exercises, several design projects, and application of microprocessors in digital design. One lecture and one laboratory period a week. Prerequisites: CSE 260M and CSE 361S.",Digital Systems Laboratory,-T-----,3,1:00P-2:30P,Richter,,school of engineering ,1
TBA,E81 CSE 473S," A broad overview of computer networking. Topics include history, protocols, Hyper Text Transfer Protocol (HTTP), File Transfer Protocol (FTP), Simple Mail Transfer Protocol (SMTP), Domain Name System (DNS), peer-to-peer (P2P), transport layer design issues, transport layer protocols, Transmission Control Protocol (TCP), User Datagram Protocol (UDP), TCP congestion control, network layer, Internet Protocol version 4 (IPv4), Internet Control Message Protocol (ICMP), Internet Protocol version 6 (IPv6), routing algorithms, routing protocols, Open Shortest Path First (OSPF), Routing Information Protocol (RIP), Border Gateway Protocol (BGP), datalink layer and local area networks carrier sense multiple access with collision detection (CSMA/CD), Ethernet, virtual local area networks (VLANs), Point-to-Point Protocol (PPP), Multi-Protocol Label Switching, wireless and mobile networks, multimedia networking, security in computer networks, cryptography, and network management. Prerequisite: CSE 132 and 247",Introduction to Computer Networks,M-W----,3,1:00P-2:30P,Guerin,,school of engineering ,1
TBA,E81 CSE 499," Working closely with a faculty member, the student investigates an original idea (algorithm, model technique, etc.), including a study of its possible implications, its potential application, and its relationship to previous related work reported in the literature. Contributions and results from this investigation are synthesized and compiled into a publication-quality research paper presenting the new idea. Prerequisites: a strong academic record and permission of instructor.",Undergraduate Honors Thesis,TBA,3,,Guerin,,school of engineering ,1
TBA,E81 CSE 501N," This online lecture course is an introduction to software concepts and implementation, emphasizing problem solving through abstraction and decomposition. Introduces processes and algorithms, procedural abstraction, data abstraction, encapsulation, and object-oriented programming. Recursion, iteration, and simple data structures are covered. Concepts and skills are mastered through programming projects, many of which employ graphics to enhance conceptual understanding. Java, an object-oriented programming language, is the vehicle of exploration. Active-learning sessions are conducted in a studio setting in which students interact with each other and the professor to solve problems collaboratively. Prerequisites: Comfort with algebra and geometry at the high school level is assumed. Patience, good planning, and organization will promote success. This course assumes no prior experience with programming. Midterm evening exams will be held on the evenings of Thursday, 9/28/17 and Thursday, 11/9/17 from 6:30-8:30 p.m.",Programming Concepts and Practice,TBA,3,,"Cytron, Cosgrove",,school of engineering ,1
TBA,E81 CSE 502N," Study of fundamental algorithms, data structures, and their effective use in a variety of applications. Emphasizes importance of data structure choice and implementation for obtaining the most efficient algorithm for solving a given problem. A key component of this course is worst-case asymptotic analysis, which provides a quick and simple method for determining the scalability and effectiveness of an algorithm. Midterm evening exams will be held on the evenings of Monday, 10/2/17 and Monday, 11/6/17 from 6:30-8:30 p.m. Prerequisite: CSE 240",Fundamentals of Computer Science,-T-----,3,4:00P-5:30P,Shook,,school of engineering ,1
TBA,E81 CSE 503S," This course uses web development as a vehicle for developing skills in rapid prototyping. Students acquire the skills to build a Linux web server in Apache, to write a web site from scratch in PHP, to run an SQL database, to perform scripting in Python, to employ the AngularJS web framework, and to develop modern web applications in client-side and server-side JavaScript. The course culminates with a creative project in which students are able to synthesize the course material into a project of their own interest. The course implements an interactive studio format: after a formal presentation of a topic, students develop a related project under the supervision of the instructor. Prerequisite: CSE 131",Rapid Prototype Development and Creative Programming,M-W----,3,10:00A-11:30A,Sproull,,school of engineering ,1
Eads / 016,E81 CSE 504N," Intensive focus on practical aspects of designing, implementing and debugging object-oriented software. Topics covered include developing, documenting, and testing representative applications using object-oriented and generic frameworks and C++. Design and implementation based on frameworks are central themes to enable the construction of reusable, extensible, efficient, and maintainable software. Prerequisites: CSE 247.",Object-Oriented Software Development Laboratory,-T-R---,3,10:00A-11:30A,Staff,,school of engineering ,1
