building,code,description,title,days,credits,time,instructor,school,collegeId,department
TBA,L90 AFAS 3140," The academic study of urban inequality proceeds from the understanding that: 1) cities are deeply unequal, especially when considered in terms of race and class; 2) rather than being random or natural, urban inequality is the product of human ideas, policies, and practices; and 3) urban inequality has substantial and enduring impacts on city life and life chances, especially for racial minorities and the poor. Echoing these general themes, this course closely examines the causes, development, and consequences of urban inequality in the U.S. context. In order to explore U.S. urban inequality most clearly, the course focuses on the African-American urban experience and what has variously been called the ""black belt,"" the inner city, and, most importantly, the ghetto. The scope is still national, though, with analyses of New York, Philadelphia, Baltimore, D.C., Detroit, Chicago, New Orleans, Oakland, and St. Louis, among other cities. The course primarily draws from sociology and history but also includes insights from anthropology, political science, criminology, and law, among other disciplines.","Urban Inequality: Racism, Segregation, & Ghettoization in the American City",-T-R---,3,10:00A-11:30A,Vieyra,,1,
TBA,L90 AFAS 3212," Examination of race, ethnicity, and racism from a sociological perspective to understand race as a socially constructed phenomenon manifest in a wide range of social institutions. The course focuses on how race and racism impact contemporary social problems and public policy issues including immigration, affirmative action, education, media representation, and work. Application of sociological analysis to understand current race-related events. This course has no specific prerequisites but completion of an introductory course in sociology is recommended before enrollment.",The Social Construction of Race,-T-R---,3,1:00P-2:30P,Chavez,,1,
TBA,L90 AFAS 321C," Beginning with an introduction to the methodological and theoretical approaches to African history, this course surveys African civilization and culture from the Neolithic age until 1800 A.D. Topics include African geography and environmental history, migration and cross-cultural exchange, the development of Swahili culture, the Western Sudanese states, the trans-Atlantic slave trade and the historical roots of Apartheid.",African Civilization to 1800,M-W----,3,1:00P-2:30P,Parsons,,1,
TBA,L90 AFAS 3301," How does an attention to contemporary black artistic practices animate activism of the Black Lives Matter movement? How might we document and theorize black aesthetics in relationship to black politics? This course considers these questions by examining contemporary art practices that champion black humanity, and intervene in anti-black racism in the criminal justice system, housing, education, employment, and everyday life. We observe black aesthetics in practices such as poetry, performance art, theater, dance, music, photography, film, and visual art. We study foundational and contemporary critical theory invested in black politics, black feminism, black resilience, black excellence, and black joy. We also engage with St. Louis artists, and practice producing artistic work, including a performance or action, a song or poem, and visual artwork or short film. No artistic experience is required. Texts of study include: Force Continuum by Kia Corthron; An Octoroon and Appropriate by Branden Jacobs-Jenkins, A Seat at the Table by Solange; as well as visual art, poetry, and film by St. Louis-based artists.","Culture & Identity: Black Lives Matter: Art, Theory, and Practice",M-W----,3,11:30A-1:00P,Mahmoud,,1,
TBA,L90 AFAS 352A," The black athlete is a central figure in American entertainment, and has been since Frederick Douglass decried Christmastime slave games in his Narrative. This course will examine literary depictions of black athletes-in novels, memoirs, essays, and poems-in order to better understand the cultural significance of sportsmen and women in the African American struggle for equality, from abolitionism to the ""Black Lives Matter"" movement. We will read works by Douglass, Ralph Ellison, Maya Angelou, and John Edgar Wideman, among others, and examine the lives and athletic pursuits of prominent athletes such as Jackie Robinson, Muhammad Ali, Wilma Rudolph, Michael Jordan, and LeBron James. Popular perceptions of gender and sexuality, in addition to race and racism, will factor into our readings, especially as students incorporate secondary sources into their own research.",The Black Athlete in American Literature,-T-R---,3,10:00A-11:30A,Cohan,,1,
TBA,L90 AFAS 3600," This course examines major themes in the history of the Caribbean from the fifteenth to the twentieth century. The first half of the course will focus on the fifteenth to the nineteenth century, exploring issues such as indigenous societies, European encounter and conquest, plantation slavery, the resistance of enslaved Africans and emancipation. The remainder of the course focuses on aspects of the cultural, economic, political and social experiences of Caribbean peoples during the twentieth century. Major areas of inquiry include the labor rebellions of the 1930s, decolonization, diasporic alliances, Black Power, identity construction and the politics of tourism. While the English-speaking Caribbean constitutes the main focus, references will be made to other areas such as Cuba and Haiti. Additionally, the Caribbean will be considered in a multilayered way with a view to investigating the local (actors within national boundaries), the regional (historical events that have rendered the region a unit of analysis) and the global (larger globalizing forces such as capitalism, colonialism, migration and slavery that have made the Caribbean central to world history). PREREQUISITE: Sophomore standing or permission of the instructor. Modern, Transregional.","Beyond Sea, Sunshine and Soca: Blacks in the Caribbean",M------,3,2:30P-5:30P,Bedasse,,1,
TBA,L90 AFAS 3662," Between 1957 and 1975, one African territory after another made the transition from European colony to independent nation state. Widespread optimism that these ""transfers of power"" would bring a new era of prosperity and dignity dissipated quickly as the new nations struggled with political instability, military coups, social unrest, and persistent poverty. Consequently many western observers and development specialists are certain that they have become ""failed states"" requiring foreign assistance to develop properly. This course challenges these assumptions by tracing the origins of African governance and economic development from their imperial origins into the independence era. By exploring nation-building, economic planning, and public administration from the perspective of political elites, foreign experts, and ordinary people the class takes an intimate look at how colonies became nation states. These new perspectives offer students a historical grounding in international public administration and development by exploring how imperial ideas and concepts continue to influence contemporary social planning and development policy in both Africa and the wider world. PREREQUISITE: Sophomore standing or permission of the instructor. NOTE: University College students may enroll only with permission of the instructor. Modern, Africa.","Experts, Administrators and Soldiers: Governance and Development in Post-Colonial Africa",M-W----,3,5:00P-6:30P,Parsons,,1,
Seigle / L016,L90 AFAS 4005," The purpose of this course is to explore video microanalysis as a methodological tool for studying and valuing unconscious aspects of culturally diverse settings. Utilizing social cultural theoretical lens, this type of analysis will reveal fleeting actions, subtle movements, peripheral events, and non-verbal communication that are not easily identified in real time viewing. Specifically we may look at facial expressions, direction of gaze, hand movements, body position, and use of material resources as micro techniques to expand our capacity to explore minute aspects and alternative interpretations of social interactions.",Video Microanalysis: Methods and Tools,--W----,3,4:00P-7:00P,Rowhea Elmesky,,1,
TBA,L90 AFAS 409," This course considers histories and social constructions of gender and sexuality in sub-Saharan Africa during the colonial and contemporary periods. We will examine gender and sexuality both as sets of identities and practices and as part of wider questions of work, domesticity, social control, resistance, and meaning. Course materials include ethnographic and historical materials and African novels and films. PREREQUISITE: Graduate students or undergraduates with previous AFAS or upper level anthropology course.","Gender, Sexuality, and Change in Africa",-T-R---,3,2:30P-4:00P,Parikh,,1,
TBA,L90 AFAS 421A," How do representations of identity affect how we see ourselves and the world sees us? African American women have been particularly concerned with this question, as the stories and pictures circulated about black female identity have had a profound impact on their understandings of themselves and political discourse. In this course we will look at how black feminist theorists from a variety of intellectual traditions have explored the impact of theories of identity on our world. We will look at their discussions of slavery, colonialism, sexuality, motherhood, citizenship, and what it means to be human.",From Mammy to the Welfare Queen: African American Women Theorize Identity,M-W----,3,10:00A-11:30A,Wanzo,,1,
TBA,L90 AFAS 434B," This seminar applies a deep reading to social science texts that examine the construction and experiences of black people in the United States from the point of view of black scholars. Readings include theoretical and empirical work. The seminar focuses on the influence of the disciplines of psychology, sociology, and anthropology on the policy and social practices that characterize dominant North American institutions. Advanced class level strongly advised.",Seminar in Black Social Sciences,--W----,3,4:00P-7:00P,Duncan,,1,
TBA,L90 AFAS 4489," Newscasters, pundits, pollsters, analysts and even politicians often think of African Americans as a monolithic population, held together by a uniform set of beliefs that run steady across the entire community. However, this simply is not the case. When it comes to politics and political thought, African Americans, and those who make up the Black population in the United States, exhibit a broad range of intra-racial diversity. Manifested along the fault lines of class, gender, age, ideology, and a number of other factors, the complexity of Black political thought is built upon the structure of both African American communities and the larger American political landscape. This course will explore the contours of Black political thought in the United States, while paying close attention to various ideologies, pivotal historical moments and major debates shaping the course of African-American political life.",Black Political Thought,M-W----,3,10:00A-11:30A,Fenderson,,1,
TBA,L90 AFAS 4851," Prison reformers argue that de-criminalizing nonviolent offenses will be enough to reduce mass incarceration, while prison abolitionists argue that we need to dismantle the entire carceral state in the U.S., which is maintained by a racially stratified system of public schooling, housing, employment and health care. What is at stake in these debates? Are we seeking to promote basic humanity, racial and gender equality or utopian visions of rehabilitation? This course seeks to historically contextualize prison reform and abolitionism from the 13th Amendment's re-articulation of slavery to current resistance to mass incarceration. Special attention will be paid to the intersections between the prisoner's rights movement and the Black & Brown Power, feminist, queer and disability movements. PREREQUISITE: Prior coursework in history or permission of the instructor. Modern, U.S. Students registering for this course must also register for L22 49IR/24.","Prisons, Politics and Activism",M------,3,2:00P-5:00P,Lee,,1,
TBA,L90 AFAS 498," A fieldwork project carried out under the direction of an instructor in the African and Afro-American Studies program. Prerequisites: Permission of instructor and the Director of African and Afro-American Studies prior to enrollment. See Program office for forms.",Fieldwork in African-American Studies,TBA,0,,Early,,1,
TBA,L98 AMCS 1012," This course provides a survey of the field of Urban Studies, utilizing the city of St. Louis as a field site. The major purpose of the course is to gradually reveal how a city operates internally, and how it operates externally with its sister cities, surrounding metropolitan areas and neighboring states, amidst competing and often contradictory interests. Utilizing historical analysis as a guide, the course will briefly revisit the experiences of previous waves of ethnic groups to the St. Louis metropolitan area, as a lens for understanding the current social, political and economic dilemmas which many urban dwellers in St. Louis now face. The course will reveal to students the intricacies of social welfare issues and policies among high density populations, in St. Louis, that are homogeneous and heterogeneous, at the same time. Visits and discussions with various governmental and nongovernmental agencies, and how such agencies function or dysfunction for various constituencies allow students to ask crucial questions regarding equality of opportunity in a democratic society. Students will also encounter diverse communities and neighborhoods and the intended and unintended consequences of social welfare policies designed to ameliorate urban dilemmas such as poverty and inequality, homelessness, educational underachievement, gentrification, migration and immigration, development, health care, fiscal issues, the informal economy, and issues concerned with crime and social justice, among others. Readings are reinforced and challenged through visits, interactions and observations with broad constituencies and institutions, ranging from city officials to community residents. As such, this course offers a survey discussion of the rich interdisciplinary field of Urban Studies for those who may be interested in pursuing a stand alone major in the field of Urban Studies.",Introduction to Urban Studies,--W----,3,2:00P-4:30P,[TBA],,1,
TBA,L98 AMCS 101B," This course provides an overview of the politics of the American system of government. Among the topics to be covered are the historical developments of American politics, ferderalism, political participation (voting, interest groups, parties), institutions (congress, the courts, the president), and public opinion. A theme underlying our examination of these and other topics will be the fact that political actors are purposive in their strategic pursuit of various objectives. We will explore the many ways in which this aspect of political behavior impacts institutions and the interactions between political actors throughout the American political system.",American Politics,M-W----,3,11:00A-12:00P,Reeves,,1,
S40 Lien / SEMA,L98 AMCS 122," Go exploring in and around St Louis. Rivers, prairies, urban landscapes, caves and more. You'll learn about the St. Louis backyard, and your ""home"" for the next four years. Through field trips, readings, interviews and discussion, you'll see first-hand what challenges face the environment and the people who live here. You will learn how to examine multiple perspectives, how to think critically and how to approach problems from an interdisciplinary and holistic approach. You'll also learn why it is important to know a community at the local level if you're going to affect change on any level-state, national, or international. In addition to weekly readings and discussion, this class includes several field trips.",A&S Freshman Seminar - A Sense of Place: Discovering the Environment of St. Louis,---R---,3,1:00P-4:00P,Martin,,1,
TBA,L98 AMCS 163," This course is designed to introduce students to some of the major themes in American history. We will explore the emergence and expansion of the nation, changing meanings of freedom, of citizenship, of American identity, as well as major changes in the nation's economic structures, politics, social order and culture. Much of the reading and writing assignments will come from primary sources. Introductory course to the major and/or minor. DISCUSSION SECTION IS REQUIRED.","Freedom, Citizenship, and the Making of American Culture",M-W----,3,10:00A-11:00A,Kastor,,1,
TBA,L98 AMCS 180," This course will examine cultural expressions of American Jewish identity within an ethnographic context. We will analyze processes of assimilation, Americanization, and innovation, as well as Jewish contributions to popular American culture and entertainment, from Irving Berlin to Madonna, and the 'The Joys of Yiddish' to 'jewlicious.com.' Moving from tradition to modernity, pluralism and transdenominationalism and back to tradition (sometimes with a vengeance) we explore challenges to Jewish identity and creative responses through the cultural lens.",Freshman Seminar: Jewcy: Jewish Culture in the 21st Century,M-W-F--,3,11:00A-12:00P,Berg,,1,
TBA,L98 AMCS 2010," This course explores religious life in the United States. We will focus our study on groups and movements that highlight distinctive ways of being both ""religious"" and ""American,"" including the Americanization of global religions in the US context. Major themes will include religious encounter and conflict; secularization, resurgent traditionalism, and new religious establishments; experimentalism, eclecticism, and so-called ""spiritual"" countercultures; the relationship between religious change and broader social and political currents (including clashes over race, class, gender, and sexuality); and the challenges of religious multiplicity in the US. You will: 1) acquire knowledge of the disparate religions practiced in North America during the twentieth century and beyond; 2) examine some of the chief conflicts as well as alliances between religion and the American social order in a global context; and 3) develop interpretive tools for understanding religionÎ‚s present and enduring role in the US and the world.",Religion and American Society,M-W----,3,1:00P-2:30P,Maffly-Kipp,,1,
TBA,L98 AMCS 2011," Overview of sociological understandings of race, with a particular focus on race relations in the contemporary United States.? We begin by investigating how sociologists understand racial distinctions, asking: What comprises a racial group? What constitutes a ""group"" in the social sense? We then shift our attention to patterns of racial inequality in the U.S., investigating the intersection of economic, political, and racial stratification.? After analyzing national trends in racial stratification, we narrow the focus to particular regions and metropolitan areas, including St. Louis, to shed light on pressing public concerns such as the interrelationships between race and the criminal justice system? The course ends by looking beyond U.S. borders to compare the way that race is understood in other countries? Are there common patterns of racial classification shared by many societies? What makes the U.S. system of racial stratification distinctive? No prerequisites.",Understanding Racial Inequality in the Contemporary U.S.,M-W----,3,10:00A-11:30A,Denice,,1,
TBA,L98 AMCS 202," This course explores the history and politics of immigrant groups coming to the United States in the nineteenth, twentieth, and twenty-first centuries. We give attention to contemporary immigration in the US and compare it to past experiences. Topics include legislation, patterns of migration, comparisons of different waves of immigration, and changing social attitudes. Attendance will be taken: grade will be reduced after four (4) unexcused absences",The Immigrant Experience,M-W----,3,10:00A-11:30A,Darnell,,1,
TBA,L98 AMCS 2033," Drawing from social scientific perspectives, this course surveys educational research and policy in contemporary U.S. society. It considers the relationship among controversial policy issues (e.g., school choice, public school closure, urban redevelopment) and education. Finally, it examines the implications of recent changes in education for social inequality, mobility, and group relations.",Introduction to Education: Contradictions and Controversies in School Choice,-T-R---,3,1:00P-2:30P,Ebony Duncan,,1,
TBA,L98 AMCS 2152," This introductory course uses historical case studies combined with readings in law, literature, and philosophy to illuminate key episodes where definitions of justice were contested in 19th and 20th century America. Some of the conflicts to be explored include: Cherokee Removal, Civil War era debates over southern secession; whether reparation should be offered to freed people to redress the injustices of racial slavery; the denial of voting rights to women as a case of ""taxation without representation""; 20th century controversies over legal bans on racial intermarriage; free speech versus hate speech in the 1960s and 70s; and recent debates over affirmative action and gay marriage. Attendance Required.",The Theory and Practice of Justice: The American Historical Experience,M-W----,3,2:30P-4:00P,Bernstein,,1,
TBA,L98 AMCS 220," American democracy is in crisis. Unless it's flourishing. Or maybe both. Whatever the case, diagnosing the status of democracy in the United States requires more than understanding today's headlines. Stepping back from contemporary debates, this seminar will examine the long history of American democracy from the signing of the Declaration of Independence to the opening days of the Trump administration. Some of the topics covered will include the tangled histories of slavery and freedom, the shifting boundaries of citizenship, the relationship between economic and political equality, the origins of political polarization, and the character of the American state. Grappling with these subjects raises a host of other issues. Is the United States a democracy today? Should it be one tomorrow? Was it ever really a democracy in the first place? This course will not supply answers to those questions, but it will provide you with tools to think about them for yourself.","Topics in American Culture Studies: American Democracy, from Tocqueville to Trump",-T-R---,3,1:00P-2:30P,Shenk,,1,
TBA,L98 AMCS 2356," This course is designed to give students an introduction to key themes and scholarship in urban history. Readings and class discussions will examine how cities change over time, how urban spaces are continually built and rebuilt, and the way in which activists and government officials assert power. The course will span a large geographical and chronological scope. Special attention will be paid to St. Louis, in relation to urban spaces around the globe, especially Chinese, Brazilian and Indian cities, to reveal how an international framework forces us to rethink what we know about cities and what the concept of ""urban"" means.",From St. Louis to Shanghai: Cities and Citizens in Global Urban History,-T-R---,3,2:30P-4:00P,Siegel,,1,
TBA,L98 AMCS 245," This course will critically examine the portrayal of persons with disabilities in literature and film, exploring how those images either shape or mimic general public impressions. We will discuss the implications of messages from the media on American responses to people with disabilities, as well as formulating strategies for promoting positive, inclusive messages. Perspectives from social science, health care, communications and other fields will provide frameworks for analysis. Literature will include fiction, biography and autobiography in books, essays, drama, poetry and short stories. Selections from fictional, educational, and documentary films will be reviewed during the semester. We will also investigate images in newspapers, magazines and advertising.",Images of Disability in Film and Literature,-T-R---,3,4:00P-5:30P,Kniepmann,,1,
TBA,L98 AMCS 248," This multidisciplinary freshman seminar introduces Annika Rodriguez Scholars to the field of Latino/a Studies in order to better understand the place of Latinos in U.S. politics, history, and culture. Students are asked to examine how a heterogeneous and changing Latino/a population both shapes and is shaped by life in the United States. A selection of texts from various disciplines (including history, the social sciences, music, literature, and the arts) inform our class discussions. Over the course of the semester, we also engage with scholarly conversations about constructions of ""Latinidad"" as they relate to questions of identity, class, race/ethnicity, religion, gender, im(migration), language, and popular culture. Students learn to recognize and appreciate the complexities of Latino/a experiences in the United States and will become familiar with a critical vocabulary that facilitates complex discussions about broader issues of American culture and identity. Prerequisite: Freshmen members of the Annika Rodriguez Scholars Program. Students will be waitlisted and then manually added to course.",Latino/a Experiences in the United States,-T-R---,3,11:30A-1:00P,Macias,,1,
TBA,L98 AMCS 2651," The city is a crucial frame for understanding the nation's cultural, economic, social, political and ecological concerns. This course discusses its importance in shaping American society and consider urban environments as living, breathing, contracting and expanding regions in the landscape. Questions of race, class and gender will be explored in an attempt to understand the current configuration of American cities, and to allow students to engage meaningfully with the continual transformation of urban space. Attention will be paid to the role played by popular imagination in the formation of public policy, civic spatial arrangement, suburban development and urban historical geography.",Urban America,-T-R---,3,11:30A-1:00P,Flowe,,1,
TBA,L98 AMCS 280," What would it mean to engage in effective social and structural analysis of the complex problems of modern American life that are so often reduced by policy makers to matters of individual choice and personal responsibility? This is an urgent question at a historical moment when American society is becoming more diverse and more unequal. Through a sociological lens, this course explores key areas of inequality: social class and poverty, racism and sexism, the crisis in health care, and the perils of globalization. We examine empirical underpinnings of these areas focusing on the intersection of statuses related to race, social class, gender, ethnicity, and sexuality that heighten risk for social and political disadvantages. Our investigation capitalizes on rich sources of multidisciplinary data and methods. These sources offer a foundation for an original research project allowing students to gain an understanding of the complexity of social problems emanating from inequality, and productive intellectual and policy responses. Guests from agencies dealing directly with these issues will share perspectives. Students will emerge from the course with critical skills that empower them to decipher contemporary policy debates and develop their own critical analyses.",Exploring Inequality: The Social and Structural Analysis of Modern American Life,M-W----,3,8:30A-10:00A,Lindsey,,1,
TBA,L98 AMCS 297," Students receive credit for a faculty-directed and approved internship. Registration requires completion of the Learning Agreement which the student obtains from the Career Center and which must be filled out and signed by the Career Center and the faculty sponsor prior to beginning internship work. Credit should correspond to actual time spent in work activities, e.g., 8-10 hours a week for thirteen or fourteen weeks to receive 3 units of credit; 1 or 2 credits for fewer hours. Students may not receive credit for work done for pay but are encouraged to obtain written evaluations about such work for the student's academic advisor and career placement file. Limited to AMCS Majors and Minors, with Departmental pre-approval required.",Undergraduate Internship in American Culture Studies,TBA,0,,[TBA],,1,
TBA,L98 AMCS 298," Fieldwork under the direction of an AMCS-affiliated faculty. Fieldwork proposals must be submitted for review in advance, and routine meetings and consultation with advising faculty should take place over the course of the semester of enrollment (and possibly before). See the AMCS website for more information about fieldwork expectations and process. Enrollment by permission of Program pending approval of project proposal, which will be submitted several months before the fieldwork begins. Schedule to be determined based on participant and advisor availability. Preference given to AMCS Majors and Minors and course is contingent upon suitable enrollment. All students must add themselves to the Waitlist first and will be notified by early August if the class section will be offered or cancelled.",Directed Fieldwork in American Culture Studies,TBA,0,,Kolk,,1,
TBA,L98 AMCS 299," This course serves as the introductory course analyzing the forces shaping America's cities and surrounding metropolitan areas. It examines as well strategies for dealing with many of the profound social issues affecting urban/metropolitan America. Emanating from an historical perspective, it examines the ways in which industrialization and deindustrialization shaped Northern American cities and the consequences of deindustrialization on urban citizenry. It further surveys the demographic and spatial transformation of American cities examining the consequences of urban transformation on federal, state and local politics, on society and on her institutions. Similarly, the course focuses on the origin and societal changes and emerging goals of urban development, gentrification and evolving patterns of metropolitanism and the necessity for central city as well as neighborhood reconstruction. The dynamics of racial residential segregation, crime and punishment, issues of academic achievement and under-achievement, the social cleavages of urban marginalized communities, family structure, urban homelessness, urban sprawl, and health care, among others, are viewed from the perspective of social justice by exploring social, political, economic, racial, and ethnic factors that impact on access, equity and care. Various theoretical perspectives and philosophies are introduced that have dominated the discourse on race and urban poverty. A field based component complements the coursework, and is designed to build interest, awareness and skills in preparation for outreach to urban communities. PREREQUISITE: Sophomore standing.",The Study of Cities and Metropolitan America,-T-----,3,2:30P-5:30P,Carol Camp Yeakey,,1,
Music Cls Bldg / 102,L98 AMCS 3014," This course considers the history of American popular music as delivered by successive mass media platforms in the industrial and post-industrial eras: from mass-produced sheet music in the mid nineteenth century to digital music and video on the internet. Historical contextualization and in depth analysis of musical scores and various kinds of audio recordings and audiovisual texts will be at the center of the course. Topics to be considered include: the history of sound recording technologies and formats; the role of electronic mass media structures (radio, film, television, the internet); urbanization, national commercial music centers (New York, Hollywood, Nashville), and the importance of regional sounds in a national context; the formation and transformation of select genres (rock, country, various black musics); legal frameworks relating to music as a commodity (copyright, sampling); the impact of visual media on music dissemination, performance, and meanings; and how recorded media of all kinds have transformed the act of listening. Issues of race, gender, sexuality, personal, and national identity will be considered across the course. Prerequisites: Music 121C and 122C (Theory I and II) or Music 121J and 122J (Jazz Theory I and II)",American Popular Music and Media,-T-R---,3,1:00P-2:30P,[TBA],,1,
TBA,L98 AMCS 301C," In this course we examine the development of American schooling. Our focus is on three general themes: the differing conceptions of schooling held by some American political, social, and cultural thinkers; the changing relationships among schools and other educational institutions such as the church and the family; and the policy issues and arguments that have shaped the development of schooling in America. PREREQUISITE, SOPHOMORE STANDING.",The American School,-T-R---,3,10:00A-11:30A,Michelle Purdy,,1,
